Station,Year,Rainfall (mm)
"Surkhet, Birendranagar ",2006,1485
"Surkhet, Birendranagar ",2007,1864
"Surkhet, Birendranagar ",2008,1508
"Surkhet, Birendranagar ",2009,1726
"Surkhet, Birendranagar ",2010,1975
"Surkhet, Birendranagar ",2011,1659
"Surkhet, Birendranagar ",2012,1173
"Syangja,Syangja ",2001,3260
"Syangja,Syangja ",2002,3861
"Syangja,Syangja ",2003,3328
"Syangja,Syangja ",2004,3114
"Syangja,Syangja ",2005,2249
"Syangja,Syangja ",2006,2675
"Syangja,Syangja ",2007,3498
"Syangja,Syangja ",2008,NA 
"Syangja,Syangja ",2009,2979
"Syangja,Syangja ",2010,2904
"Syangja,Syangja ",2011,2832
"Syangja,Syangja ",2012,2735
"Tanahaun, Khairenitar ",2001,227
"Tanahaun, Khairenitar ",2002,3058
"Tanahaun, Khairenitar ",2003,2056
"Tanahaun, Khairenitar ",2004,2113
"Tanahaun, Khairenitar ",2005,2089
"Tanahaun, Khairenitar ",2006,2202
"Tanahaun, Khairenitar ",2007,2151
"Tanahaun, Khairenitar ",2008,2122
"Tanahaun, Khairenitar ",2009,2979
"Tanahaun, Khairenitar ",2010,1877
"Tanahaun, Khairenitar ",2011,2406
"Tanahaun, Khairenitar ",2012,2026
"Taplejung,Taplejung ",2001,1912
"Taplejung,Taplejung ",2002,2173
"Taplejung,Taplejung ",2003,2505
"Taplejung,Taplejung ",2004,1746
"Taplejung,Taplejung ",2005,1795
"Taplejung,Taplejung ",2006,2147
"Taplejung,Taplejung ",2007,2055
"Taplejung,Taplejung ",2008,1766
"Taplejung,Taplejung ",2009,1409
"Taplejung,Taplejung ",2010,2233
"Taplejung,Taplejung ",2011,1435
"Taplejung,Taplejung ",2012,2006
